Monitoring	The continuous observation of model behavior in deployed environments.	In what ways does the amount of monitoring impact a model's performance?
Feedback	Information from users or systems used to improve model performance.	How can we ensure that user feedback is helpful and doesn't introduce new biases?
Human in the Loop	A design approach where human oversight is integrated into automated decision-making.	Could you imagine a scenario in which no human in the loop is required? What would it look like?
Tradeoffs	The balancing of competing objectives such as accuracy, fairness, and efficiency.	Should any of the aforementioned objectives take priority over others? Why or why not?
Standardization	The establishment of common practices, formats, or benchmarks.	Should there be global standards for AI development, or should every country/region make its own rules?
Interoperability	The ability of different systems to exchange and use data	Should AI models from different companies be forced to work together, even if it harms competition?
Inference	The "doing" part of AI, where a trained model applies its learned knowledge to new data, producing outputs like predictions, interpretations, or generated responses	How can we ensure that the output of the AI accurately infers from its learned knowledge?
Representation	The presence and portrayal of different demographic or social groups in data.	How would you want different social groups to be represented? Accurately relating to the proportions in the real world, or some ideal world? (e.g., men and women split 50/50 in every profession, or more true to real life?)
Inclusivity	The practice of ensuring diverse groups are fairly considered in system design and outputs.	How do you think inclusion could and should be implemented in AI? Do you think all groups should be represented equally or does that bring their own issues?
Accessibility	The design of systems to be usable by people with varying abilities and needs.	Should AI companies make their models accessible to everyone, even if that entails a lot of work for a small group?
Profiling	The analysis of text data to infer attributes about individuals or groups.	What could be the danger of using a large amount of text about one group to make conclusions about an individual?
Value Misalignment	A mismatch between model behavior and intended human values or goals.	What would be an example of value misalignment, and how could this issue be fixed?
Mitigation	Actions taken to reduce identified risks or harms.	Who should decide what the risks and harms are, and what is “good”?
Ownership	The rights and control over data, models, or generated outputs.	When you give a prompt to an AI model, who owns the rights to the answer it produces?
Attribution	The identification and crediting of data sources or generated content origins.	How should AI companies respect the original authors when collecting data and training on it? Should they be allowed to use any data they want, or should there be rules and regulations?
Misinformation	False or misleading information produced without intent to deceive.	How can an AI help in the spreading of misinformation?
Disinformation	False information deliberately created to mislead.	Is it easy to create disinformation with LLMs? Try it yourself! Think of a creative (but fake) news headline, and have an LLM come up with a related article.
